timestamp,machine_speed,stock_flow,steam_pressure,filler_flow,moisture,ash_content,caliper,basis_weight,recipe_target_bw,alarm_state
2026-07-26 00:00:00,1188.5492,398.861,33.3279,26.0352,8.0704,10.5002,98.08,78.5974,80.0,0
2026-07-26 00:01:00,1204.6663,404.2697,38.2301,27.1592,7.9173,10.0521,98.965,80.636,80.0,0
2026-07-26 00:02:00,1187.4192,395.9214,32.7824,25.3978,8.1699,10.0199,96.383,78.6287,80.0,0
2026-07-26 00:03:00,1217.22,395.9758,36.2791,25.624,7.5572,9.7917,102.058,81.7019,80.0,0
2026-07-26 00:04:00,1198.2635,395.8523,35.2182,26.1559,7.9082,10.5575,100.493,79.1227,80.0,0
2026-07-26 00:05:00,1195.4491,395.7045,34.6027,25.9921,7.5082,9.6637,97.969,79.862,80.0,0
2026-07-26 00:06:00,1199.4429,400.1159,36.6752,27.2103,7.9157,10.3244,101.011,80.5304,80.0,0
2026-07-26 00:07:00,1183.5899,404.232,35.5312,26.6833,8.7255,10.0162,98.263,78.5697,80.0,0
2026-07-26 00:08:00,1216.6592,394.3253,37.0418,25.6477,8.1585,9.5204,100.995,80.5555,80.0,0
2026-07-26 00:09:00,1210.0704,398.5168,36.5731,25.44,8.2542,10.2061,101.339,80.2799,80.0,0
2026-07-26 00:10:00,1180.7433,398.5155,33.6656,26.0382,8.0212,10.1054,99.883,79.0347,80.0,0
2026-07-26 00:11:00,1186.628,405.8433,34.2433,27.4682,7.8474,10.9314,100.537,80.0585,80.0,0
2026-07-26 00:12:00,1199.8055,402.8589,35.4986,26.3757,7.8724,10.599,100.415,80.3087,80.0,0
2026-07-26 00:13:00,1218.8949,404.3549,37.4827,25.6696,8.0369,9.7189,100.777,79.9634,80.0,0
2026-07-26 00:14:00,1195.6515,397.4459,33.1234,25.6883,7.8482,10.0992,99.478,79.6768,80.0,0
2026-07-26 00:15:00,1183.1007,396.4065,35.111,25.4454,8.592,10.1267,100.387,79.4022,80.0,0
2026-07-26 00:16:00,1223.8329,409.373,35.7206,26.7426,7.831,10.5155,103.474,82.3702,80.0,1
2026-07-26 00:17:00,1218.2912,397.8501,35.5334,25.7322,7.9018,10.388,100.304,81.5969,80.0,0
2026-07-26 00:18:00,1193.9861,403.9822,34.7594,25.9371,8.3221,10.1137,100.63,80.8232,80.0,0
2026-07-26 00:19:00,1209.4998,402.5611,33.8534,25.6323,8.1807,9.0508,102.506,80.5957,80.0,0
2026-07-26 00:20:00,1211.9377,396.2636,34.7616,25.6165,8.2359,10.2738,99.907,79.8641,80.0,0
2026-07-26 00:21:00,1202.9689,405.2974,34.0272,26.5622,7.5109,9.2359,101.598,81.0968,80.0,0
2026-07-26 00:22:00,1207.2048,412.3445,38.8473,27.303,7.6915,10.7284,99.412,80.2833,80.0,0
2026-07-26 00:23:00,1233.2173,400.6285,37.8866,25.7837,7.8037,10.3556,101.897,81.471,80.0,0
2026-07-26 00:24:00,1202.6008,404.2385,34.572,26.8406,8.0338,9.7406,102.932,81.8956,80.0,0
2026-07-26 00:25:00,1183.9334,398.694,32.3328,24.8761,8.5962,8.9547,99.556,79.7643,80.0,0
2026-07-26 00:26:00,1190.8128,392.7824,32.0497,26.342,8.0197,10.2155,101.036,79.8651,80.0,0
2026-07-26 00:27:00,1200.9114,402.254,34.4045,25.3011,8.1067,9.9725,100.912,81.3978,80.0,0
2026-07-26 00:28:00,1183.746,397.244,35.0955,25.4638,8.428,9.7975,98.779,78.403,80.0,0
2026-07-26 00:29:00,1195.4474,403.3604,36.3718,26.1242,7.3851,9.4583,100.2,79.6913,80.0,0
2026-07-26 00:30:00,1211.8327,396.6916,36.9794,25.4714,7.5327,10.3815,100.452,80.5005,80.0,0
2026-07-26 00:31:00,1203.8287,398.8243,35.9765,26.9187,7.8484,10.5139,98.434,79.2316,80.0,0
2026-07-26 00:32:00,1185.2219,401.6272,31.8287,25.7796,7.9649,9.2744,99.899,80.0955,80.0,0
2026-07-26 00:33:00,1187.8764,395.5113,32.6626,26.6701,7.8436,10.5308,100.27,79.8017,80.0,0
2026-07-26 00:34:00,1184.8644,389.2098,33.5877,23.3048,8.1461,7.8637,98.642,78.3673,80.0,0
2026-07-26 00:35:00,1211.8842,409.8814,38.1363,25.5403,8.1769,9.9702,102.279,79.4524,80.0,0
2026-07-26 00:36:00,1206.4041,394.2849,35.6933,25.6587,7.6427,9.0426,99.357,79.4423,80.0,0
2026-07-26 00:37:00,1207.6997,400.9276,34.5184,25.4434,8.3175,9.929,102.996,81.2625,80.0,0
2026-07-26 00:38:00,1217.1405,399.8803,36.1459,25.1748,7.6841,9.7513,100.565,80.3666,80.0,0
